Chargement MNIST…
  train: (60000, 28, 28, 1) | test: (10000, 28, 28, 1)
Modèle fp32 : 6,772,500 paramètres | latent_dim=2
Cible PyTorch à battre : MSE = 0.03087685
E195/10000 | train 0.032061 | test 0.031440 | epoch 0.17s | total 35.5s | lr 0.00148
E196/10000 | train 0.031790 | test 0.031375 | epoch 0.17s | total 35.7s | lr 0.00148
E197/10000 | train 0.032005 | test 0.031636 | epoch 0.17s | total 35.9s | lr 0.00148
E198/10000 | train 0.032393 | test 0.032125 | epoch 0.17s | total 36.1s | lr 0.00148
E199/10000 | train 0.032467 | test 0.031923 | epoch 0.17s | total 36.2s | lr 0.00148
E200/10000 | train 0.032194 | test 0.031322 | epoch 0.17s | total 36.4s | lr 0.00148
E201/10000 | train 0.032017 | test 0.031496 | epoch 0.17s | total 36.6s | lr 0.00148
E202/10000 | train 0.032592 | test 0.032215 | epoch 0.17s | total 36.8s | lr 0.00148
E203/10000 | train 0.032665 | test 0.032285 | epoch 0.17s | total 37.0s | lr 0.00148
E204/10000 | train 0.032268 | test 0.031458 | epoch 0.17s | total 37.1s | lr 0.00148
E205/10000 | train 0.032074 | test 0.031494 | epoch 0.17s | total 37.3s | lr 0.00148
E206/10000 | train 0.031977 | test 0.031520 | epoch 0.17s | total 37.5s | lr 0.00148
E207/10000 | train 0.031969 | test 0.031767 | epoch 0.17s | total 37.7s | lr 0.00148
E208/10000 | train 0.032304 | test 0.031631 | epoch 0.17s | total 37.9s | lr 0.00148
E209/10000 | train 0.032219 | test 0.031999 | epoch 0.17s | total 38.0s | lr 0.00148
E210/10000 | train 0.032629 | test 0.032870 | epoch 0.17s | total 38.2s | lr 0.00148
E211/10000 | train 0.034076 | test 0.032487 | epoch 0.17s | total 38.4s | lr 0.00148
E212/10000 | train 0.032745 | test 0.032110 | epoch 0.17s | total 38.6s | lr 0.00147
E213/10000 | train 0.032655 | test 0.031881 | epoch 0.17s | total 38.8s | lr 0.00147
E214/10000 | train 0.032590 | test 0.031986 | epoch 0.17s | total 38.9s | lr 0.00147
E215/10000 | train 0.032403 | test 0.031728 | epoch 0.17s | total 39.1s | lr 0.00147
E216/10000 | train 0.032211 | test 0.032048 | epoch 0.17s | total 39.3s | lr 0.00147
E217/10000 | train 0.032270 | test 0.031699 | epoch 0.17s | total 39.5s | lr 0.00147
E218/10000 | train 0.031966 | test 0.031489 | epoch 0.17s | total 39.7s | lr 0.00147
E219/10000 | train 0.031874 | test 0.031578 | epoch 0.17s | total 39.8s | lr 0.00147
E220/10000 | train 0.032075 | test 0.031743 | epoch 0.17s | total 40.0s | lr 0.00147
E221/10000 | train 0.032170 | test 0.031699 | epoch 0.17s | total 40.2s | lr 0.00147
E222/10000 | train 0.032209 | test 0.031648 | epoch 0.17s | total 40.4s | lr 0.00147
E223/10000 | train 0.032327 | test 0.032164 | epoch 0.17s | total 40.5s | lr 0.00147
E224/10000 | train 0.033291 | test 0.033524 | epoch 0.17s | total 40.7s | lr 0.00147
E225/10000 | train 0.034464 | test 0.033073 | epoch 0.17s | total 40.9s | lr 0.00147
E226/10000 | train 0.033300 | test 0.032450 | epoch 0.17s | total 41.1s | lr 0.00147
E227/10000 | train 0.032627 | test 0.032129 | epoch 0.17s | total 41.3s | lr 0.00147
E228/10000 | train 0.032396 | test 0.031814 | epoch 0.17s | total 41.4s | lr 0.00147
E229/10000 | train 0.032192 | test 0.031635 | epoch 0.17s | total 41.6s | lr 0.00147
E230/10000 | train 0.032000 | test 0.031767 | epoch 0.17s | total 41.8s | lr 0.00147
E231/10000 | train 0.032972 | test 0.032142 | epoch 0.17s | total 42.0s | lr 0.00147
E232/10000 | train 0.032241 | test 0.032027 | epoch 0.17s | total 42.2s | lr 0.00147
E233/10000 | train 0.032663 | test 0.031902 | epoch 0.17s | total 42.3s | lr 0.00147
E234/10000 | train 0.032044 | test 0.031282 | epoch 0.17s | total 42.5s | lr 0.00147
E235/10000 | train 0.031674 | test 0.031177 | epoch 0.17s | total 42.7s | lr 0.00147
E236/10000 | train 0.031503 | test 0.031104 | epoch 0.17s | total 42.9s | lr 0.00147
E237/10000 | train 0.031611 | test 0.031400 | epoch 0.17s | total 43.1s | lr 0.00147
E238/10000 | train 0.032034 | test 0.031351 | epoch 0.17s | total 43.2s | lr 0.00147
E239/10000 | train 0.031984 | test 0.031462 | epoch 0.17s | total 43.4s | lr 0.00147
E240/10000 | train 0.031849 | test 0.031348 | epoch 0.17s | total 43.6s | lr 0.00147
E241/10000 | train 0.031945 | test 0.031790 | epoch 0.17s | total 43.8s | lr 0.00147
E242/10000 | train 0.031994 | test 0.031287 | epoch 0.17s | total 44.0s | lr 0.00147
E243/10000 | train 0.031921 | test 0.031299 | epoch 0.17s | total 44.1s | lr 0.00147
E244/10000 | train 0.031916 | test 0.031442 | epoch 0.17s | total 44.3s | lr 0.00147
E245/10000 | train 0.031810 | test 0.031503 | epoch 0.17s | total 44.5s | lr 0.00147
E246/10000 | train 0.031879 | test 0.031400 | epoch 0.17s | total 44.7s | lr 0.00147
E247/10000 | train 0.032186 | test 0.032183 | epoch 0.17s | total 44.8s | lr 0.00147
E248/10000 | train 0.032374 | test 0.031811 | epoch 0.17s | total 45.0s | lr 0.00147
E249/10000 | train 0.032322 | test 0.031825 | epoch 0.17s | total 45.2s | lr 0.00147
E250/10000 | train 0.032012 | test 0.031422 | epoch 0.17s | total 45.4s | lr 0.00146
E251/10000 | train 0.032039 | test 0.031326 | epoch 0.17s | total 45.6s | lr 0.00146
E252/10000 | train 0.031528 | test 0.031113 | epoch 0.17s | total 45.7s | lr 0.00146
E253/10000 | train 0.031426 | test 0.031042 | epoch 0.17s | total 45.9s | lr 0.00146
E254/10000 | train 0.031522 | test 0.031390 | epoch 0.17s | total 46.1s | lr 0.00146
E255/10000 | train 0.031765 | test 0.031581 | epoch 0.17s | total 46.3s | lr 0.00146
E256/10000 | train 0.031857 | test 0.031483 | epoch 0.17s | total 46.5s | lr 0.00146
E257/10000 | train 0.031708 | test 0.031733 | epoch 0.17s | total 46.6s | lr 0.00146
E258/10000 | train 0.031625 | test 0.031062 | epoch 0.17s | total 46.8s | lr 0.00146
E259/10000 | train 0.031677 | test 0.031562 | epoch 0.17s | total 47.0s | lr 0.00146
E260/10000 | train 0.031678 | test 0.031373 | epoch 0.17s | total 47.2s | lr 0.00146
E261/10000 | train 0.031621 | test 0.031083 | epoch 0.17s | total 47.4s | lr 0.00146
E262/10000 | train 0.031404 | test 0.031271 | epoch 0.17s | total 47.5s | lr 0.00146
E263/10000 | train 0.031661 | test 0.031265 | epoch 0.17s | total 47.7s | lr 0.00146
E264/10000 | train 0.031522 | test 0.031197 | epoch 0.17s | total 47.9s | lr 0.00146
E265/10000 | train 0.031349 | test 0.031154 | epoch 0.17s | total 48.1s | lr 0.00146
E266/10000 | train 0.031611 | test 0.031251 | epoch 0.17s | total 48.2s | lr 0.00146
E267/10000 | train 0.031503 | test 0.031172 | epoch 0.17s | total 48.4s | lr 0.00146
E268/10000 | train 0.031608 | test 0.031455 | epoch 0.17s | total 48.6s | lr 0.00146
E269/10000 | train 0.031612 | test 0.031006 | epoch 0.17s | total 48.8s | lr 0.00146
E270/10000 | train 0.031303 | test 0.030858 | epoch 0.17s | total 49.0s | lr 0.00146  ← BATTU!
E271/10000 | train 0.031217 | test 0.030914 | epoch 0.17s | total 49.1s | lr 0.00146
E272/10000 | train 0.031617 | test 0.031433 | epoch 0.17s | total 49.3s | lr 0.00146
E273/10000 | train 0.031838 | test 0.031215 | epoch 0.17s | total 49.5s | lr 0.00146
