epoch,avg_loss,test_mse,epoch_time_s,wall_time_s,lr
164,0.03286392,0.03232441,0.171,29.966,0.001485
165,0.03291647,0.03236957,0.179,30.153,0.001485
166,0.03279732,0.03234035,0.171,30.332,0.001485
167,0.03248924,0.03193117,0.171,30.509,0.001485
168,0.03229723,0.03177213,0.172,30.688,0.001484
169,0.03235974,0.03174939,0.172,30.868,0.001484
170,0.03240412,0.03185429,0.171,31.046,0.001484
171,0.03255154,0.03190184,0.173,31.227,0.001484
172,0.03222486,0.03176115,0.171,31.405,0.001484
173,0.03245135,0.03206716,0.171,31.584,0.001483
174,0.03235328,0.03214691,0.171,31.762,0.001483
175,0.03227161,0.03187682,0.171,31.940,0.001483
176,0.03207862,0.03162243,0.172,32.119,0.001483
177,0.03221871,0.03177608,0.172,32.302,0.001483
178,0.03195582,0.03165206,0.172,32.481,0.001482
179,0.03205907,0.03162336,0.171,32.660,0.001482
180,0.03202813,0.03197085,0.171,32.838,0.001482
181,0.03250799,0.03208914,0.172,33.017,0.001482
182,0.03222533,0.03195828,0.171,33.196,0.001482
183,0.03237490,0.03185323,0.171,33.375,0.001481
184,0.03214400,0.03185377,0.171,33.553,0.001481
185,0.03199021,0.03171723,0.172,33.732,0.001481
186,0.03206504,0.03176023,0.172,33.911,0.001481
187,0.03194341,0.03158168,0.171,34.089,0.001481
188,0.03250934,0.03218914,0.173,34.273,0.001480
189,0.03245876,0.03215674,0.171,34.452,0.001480
190,0.03222437,0.03163106,0.172,34.631,0.001480
191,0.03205762,0.03165844,0.172,34.810,0.001480
192,0.03236425,0.03238819,0.172,34.989,0.001480
193,0.03255412,0.03176854,0.172,35.167,0.001479
194,0.03205283,0.03200582,0.171,35.346,0.001479
195,0.03206080,0.03144018,0.171,35.525,0.001479
196,0.03178971,0.03137488,0.172,35.707,0.001479
197,0.03200482,0.03163628,0.172,35.889,0.001478
198,0.03239322,0.03212517,0.171,36.068,0.001478
199,0.03246748,0.03192325,0.173,36.248,0.001478
200,0.03219401,0.03132152,0.172,36.427,0.001478
201,0.03201669,0.03149564,0.172,36.610,0.001477
202,0.03259236,0.03221539,0.171,36.788,0.001477
203,0.03266476,0.03228491,0.172,36.967,0.001477
204,0.03226780,0.03145830,0.171,37.145,0.001477
205,0.03207389,0.03149441,0.172,37.325,0.001477
206,0.03197714,0.03152039,0.172,37.504,0.001476
207,0.03196895,0.03176679,0.171,37.682,0.001476
208,0.03230351,0.03163139,0.172,37.861,0.001476
209,0.03221935,0.03199947,0.171,38.040,0.001476
210,0.03262938,0.03287036,0.172,38.219,0.001475
211,0.03407593,0.03248719,0.171,38.398,0.001475
212,0.03274480,0.03210959,0.171,38.577,0.001475
213,0.03265479,0.03188061,0.173,38.757,0.001475
214,0.03259037,0.03198565,0.171,38.936,0.001474
215,0.03240343,0.03172846,0.172,39.115,0.001474
216,0.03221139,0.03204773,0.172,39.294,0.001474
217,0.03227017,0.03169930,0.172,39.473,0.001474
218,0.03196617,0.03148932,0.171,39.651,0.001473
219,0.03187436,0.03157823,0.171,39.830,0.001473
220,0.03207460,0.03174288,0.171,40.008,0.001473
221,0.03217040,0.03169925,0.172,40.188,0.001473
222,0.03220903,0.03164767,0.171,40.366,0.001472
223,0.03232697,0.03216350,0.172,40.545,0.001472
224,0.03329083,0.03352443,0.171,40.724,0.001472
225,0.03446397,0.03307292,0.171,40.902,0.001472
226,0.03330006,0.03245002,0.172,41.081,0.001471
227,0.03262715,0.03212872,0.172,41.261,0.001471
228,0.03239625,0.03181374,0.171,41.439,0.001471
229,0.03219248,0.03163540,0.171,41.618,0.001471
230,0.03199952,0.03176744,0.171,41.796,0.001470
231,0.03297157,0.03214200,0.171,41.974,0.001470
232,0.03224077,0.03202666,0.172,42.154,0.001470
233,0.03266257,0.03190238,0.171,42.333,0.001470
234,0.03204368,0.03128225,0.172,42.512,0.001469
235,0.03167437,0.03117676,0.172,42.695,0.001469
236,0.03150326,0.03110383,0.172,42.877,0.001469
237,0.03161150,0.03140041,0.171,43.059,0.001469
238,0.03203446,0.03135051,0.171,43.236,0.001468
239,0.03198424,0.03146170,0.170,43.414,0.001468
240,0.03184917,0.03134842,0.172,43.594,0.001468
241,0.03194493,0.03179043,0.172,43.773,0.001467
242,0.03199365,0.03128733,0.171,43.951,0.001467
243,0.03192097,0.03129860,0.172,44.131,0.001467
244,0.03191557,0.03144166,0.171,44.309,0.001467
245,0.03181014,0.03150254,0.171,44.488,0.001466
246,0.03187877,0.03140004,0.171,44.666,0.001466
247,0.03218572,0.03218317,0.172,44.845,0.001466
248,0.03237431,0.03181090,0.172,45.024,0.001466
249,0.03232217,0.03182508,0.173,45.204,0.001465
250,0.03201211,0.03142223,0.172,45.384,0.001465
251,0.03203924,0.03132577,0.171,45.562,0.001465
252,0.03152792,0.03111303,0.171,45.740,0.001464
253,0.03142554,0.03104161,0.172,45.919,0.001464
254,0.03152231,0.03139007,0.171,46.102,0.001464
255,0.03176480,0.03158112,0.172,46.282,0.001464
256,0.03185676,0.03148335,0.170,46.460,0.001463
257,0.03170829,0.03173301,0.172,46.639,0.001463
258,0.03162534,0.03106192,0.172,46.818,0.001463
259,0.03167730,0.03156158,0.171,46.997,0.001462
260,0.03167761,0.03137272,0.172,47.176,0.001462
261,0.03162110,0.03108295,0.172,47.356,0.001462
262,0.03140373,0.03127087,0.171,47.534,0.001461
263,0.03166146,0.03126495,0.171,47.712,0.001461
264,0.03152225,0.03119717,0.172,47.891,0.001461
265,0.03134859,0.03115355,0.171,48.070,0.001461
266,0.03161066,0.03125054,0.172,48.250,0.001460
267,0.03150288,0.03117165,0.172,48.429,0.001460
268,0.03160802,0.03145531,0.171,48.607,0.001460
269,0.03161205,0.03100609,0.172,48.786,0.001459
270,0.03130340,0.03085812,0.171,48.967,0.001459
271,0.03121721,0.03091377,0.172,49.150,0.001459
272,0.03161694,0.03143289,0.172,49.330,0.001458
